WellReport,TypeOfWork,ProposedUs,OwnerName2,County2,WellAddres,CoordDDLat,CoordDDLon,GridNumber,DrillingSt,DrillingEn,Year,BoreholeDe,DrillerSig,DrillerCom,LicenseNum,PluggingRe
602057,New Well,Industrial,alpine silica,Dawson,"see coordinates, welch,",32.83012,-102.153213,27-15-6,3/29/2022,3/30/2022,2022,190,Steve Stewart,Elite Drillers Corporation,59572,
492232,New Well,Industrial,Barr Engineering,Dawson,"CR 11 & Hwy 829, Lamesa, 79331",32.810203,-102.134592,27-15-6,8/24/2018,8/24/2018,2018,230,SCOTT ALLEN JOHNSON,LAYNE CHRISTENSEN,60098,180996
492231,New Well,Industrial,Barr Engineering,Dawson,"CR C & Hwy 829, Lamesa, 79331",32.810939,-102.127208,27-15-6,7/24/2018,7/24/2018,2018,230,SCOTT ALLEN JOHNSON,LAYNE CHRISTENSEN,60098,180995
481748,New Well,Industrial,Barr Engineering,Dawson,"CR 11 & Hwy 829, Lamesa, 79331",32.816058,-102.144125,27-15-6,4/22/2018,4/26/2018,2018,240,SCOTT ALLEN JOHNSON,LAYNE CHRISTENSEN,60098,
481712,New Well,Industrial,Barr Engineering,Dawson,"CR 11 & Hwy 829, Lamesa, 79331",32.815636,-102.13905,27-15-6,4/14/2018,4/19/2018,2018,220,SCOTT ALLEN JOHNSON,LAYNE CHRISTENSEN,60098,
481704,New Well,Industrial,Barr Engineering,Dawson,"CR 11 & Hwy 829, Lamesa, 79331",32.807161,-102.128139,27-15-6,5/14/2018,5/21/2018,2018,230,SCOTT ALLEN JOHNSON,LAYNE CHRISTENSEN,60098,
472865,New Well,Industrial,Barr Engineering,Dawson,"CR 11 & Hwy 829, Lamesa, 79331",32.800539,-102.148969,27-15-6,1/23/2018,1/27/2018,2018,220,SCOTT ALLEN JOHNSON,LAYNE CHRISTENSEN,60098,
472848,New Well,Industrial,Barr Engineering,Dawson,"CR 11 & Hwy 829, Lamesa, 79331",32.801969,-102.1431,27-15-6,1/19/2018,1/23/2018,2018,220,SCOTT ALLEN JOHNSON,LAYNE CHRISTENSEN,60098,
472845,New Well,Industrial,Barr Engineering,Dawson,"CR 11 & Hwy 829, Lamesa, 79331",32.815211,-102.135517,27-15-6,1/15/2018,1/19/2018,2018,220,SCOTT ALLEN JOHNSON,LAYNE CHRISTENSEN,60098,
424658,New Well,Industrial,BASIC ENERGY,Dawson,"E OF HWY 87, LAMESA,",32.693117,-101.897983,28-17-6,6/17/2016,6/17/2016,2016,160,Rory B Roach,West Texas Water Well Service,54815,
405246,Replacement,Industrial,OXY USA INC,Dawson,,32.908056,-102.133611,27-07-9,8/7/2015,8/11/2015,2015,210,Charles Lyndall Couch,SUBMERSIBLE PUMP SPECIAISTS LLC,54256,
383235,New Well,Industrial,MESQUITE CREEK WIND LLC,Dawson,"CRW, LAMESA,",32.703612,-101.741945,28-19-4,11/15/2014,11/17/2014,2014,220,Victor M Acosta Jr,ACOSTA DRILLING INC,56002,
266493,New Well,Industrial,ROY COOPER,Dawson,,32.757501,-101.915834,28-09-9,9/20/2011,9/21/2011,2011,165,Monte J Moore,MONTE MOORE DRILLING,3289,
211439,New Well,Industrial,WALSH PETROLUEM,Dawson,,32.931111,-102.129722,27-07-6,1/18/2010,1/18/2010,2010,130,Monte J Moore,MONTE MOORE DRILLING,3289,
135730,New Well,Industrial,Paul Musselwhite Trucking,Dawson,"SE 1/4 Sec 18 Blk 35 T5N T&P RR Co., Lamesa, 79331",32.699445,-101.934167,28-17-5,1/4/2008,1/6/2008,2008,196,Jerry Thomas Staggs,"Staggs Drilling and Pump, Inc.",54224,
602170,New Well,Industrial,LANEY MILLS,Gaines,"BLOCK G 
SECTION 205, SEMINOLE,",32.881,-102.6732,27-03-8,4/8/2022,4/8/2022,2022,179,Jacobo F Friesen,"Vanguard Well Resources, LLC",59415,
598694,New Well,Industrial,JOHAN KRAHN,Gaines,"BLOCK G 
SECTION 295, SEMINOLE,",32.7232,-102.7762,27-18-3,2/19/2022,2/19/2022,2022,220,Jacobo F Friesen,"Vanguard Well Resources, LLC",59415,
585012,New Well,Industrial,Cooper Natural Resources,Gaines,"cedar lake, loop, 79342",32.81626,-102.278175,27-14-6,9/22/2021,9/22/2021,2021,100,Jonathan Clark Pool,Weston Drilling Inc,59742,
585009,New Well,Industrial,Cooper Natural Resources,Gaines,"cedar lake, loop, 79342",32.8165,-102.27817,27-14-6,9/21/2021,9/21/2021,2021,100,Jonathan Clark Pool,Weston Drilling Inc,59742,
585003,New Well,Industrial,Cooper Natural Resources,Gaines,"fm 1066, loop, 79342",32.81626,-102.27816,27-14-6,9/21/2021,9/21/2021,2021,100,Jonathan Clark Pool,Weston Drilling Inc,59742,
563647,New Well,Industrial,Oxy  Trey Harris,Gaines,"1494 N 1231 W, Seminole Tx, 79360",32.722714,-102.9752,27-17-1,11/24/2020,11/27/2020,2020,265,HENRY NEUFELD,HENRY NEUFELD,59619,
