WellReport,TypeOfWork,ProposedUs,OwnerName2,County2,WellAddres,CoordDDLat,CoordDDLon,GridNumber,DrillingSt,DrillingEn,Year,BoreholeDe,DrillerSig,DrillerCom,LicenseNum,PluggingRe
74368,New Well,Public Supply,UNCLE'S CONVEINCE STORE #130205,Midland,"4921 N. LOOP 250, MIDLAND, 79706",32.051112,-102.006945,27-64-6,11/18/2005,11/21/2005,2005,91,Darrin S Stark Sr,KITCHENS CORROSION CONTROL,54891,
37340,New Well,Public Supply,Paul Wilhite,Midland,"CR 120, Midland, 79706",32.008056,-101.875555,28-57-9,11/26/2003,11/26/2003,2003,173,R Darrell Crass,"Darrell Crass Drilling Company, Inc.",2752,
33881,New Well,Public Supply,Greenwood ISD,Midland,"1 1/2 miles South, Greenwood,",32.023333,-101.891945,28-57-9,6/11/2003,6/13/2003,2003,167,Rory B Roach,West Texas Water Well Service,54815,
33875,New Well,Public Supply,Greenwood ISD,Midland,"1 1/2 miles South, Greenwood,",32.021111,-101.891945,28-57-9,6/17/2003,6/19/2003,2003,164,Rory B Roach,West Texas Water Well Service,54815,
31418,New Well,Public Supply,Paul Wilhite,Midland,"CR 120, Midland, 79706",32.008056,-101.875555,28-57-9,11/26/2003,11/26/2003,2003,173,R Darrell Crass,"Darrell Crass Drilling Company, Inc.",2752,
588793,New Well,Public Supply,David Postor,Ector,"7151 N.Faudree rd, Odessa, 79768",31.93331,-102.31268,45-06-5,10/26/2021,10/26/2021,2021,160,Wesley G Hudnall,Permian H2O Solutions,59661,
563241,New Well,Public Supply,VIA Real Estate LLC.,Ector,"6715 Andrews HWY, Odessa TX., 79762",31.908768,-102.393747,45-05-9,12/15/2020,12/15/2020,2020,160,Wesley G Hudnall,Permian H2O Solutions,59661,
535830,New Well,Public Supply,Gardendale 158 DPT LLC. C/O GBT Realty Corp,Ector,"5586 hwy.158, Gardendale, 79758",32.037739,-102.368667,27-62-7,1/30/2020,1/31/2020,2020,120,Wesley G Hudnall,Permian H2O Solutions,59661,
497489,New Well,Public Supply,SLB RV PARK,Ector,"4097 SKEEN AVE, ODESSA,",31.756075,-102.543694,45-12-8,12/3/2018,12/4/2018,2018,195,Russell Southerland,WEST TEXAS WATER WELL SERVICE,2713,
492045,New Well,Public Supply,Oscar Urquidi,Ector,"From Intersection of S Grant ave (HWY 385) and S Crane Ave Travel north on S Grant Ave (HWY 385) for 0.11 miles then travel east on Sterling Park Rd 0.32 miles then travel south west on Lorraine Ave for 0.2 miles to location to the west, Odessa,",31.808714,-102.356292,45-14-4,8/8/2018,8/8/2018,2018,140,Casey Bob Hutto,Santa Rosa Well Service,58880,
397690,New Well,Public Supply,Dollar General,Ector,"241 N Knox, Odessa, 79763",31.839445,-102.502778,45-12-3,2/18/2015,2/18/2015,2015,130,Bryan A Mehlhoff,Marks Water Well,59300,
388739,New Well,Public Supply,DOLLAR GENERAL,Ector,"241 N KNOX, ODESSA, 79763",31.839445,-102.502778,45-12-3,2/18/2015,2/18/2015,2015,130,Bryan A Mehlhoff,"MARKS WATER WELL COMPANY, INC",59300,
