WellReport,TypeOfWork,ProposedUs,OwnerName2,County2,WellAddres,CoordDDLat,CoordDDLon,GridNumber,DrillingSt,DrillingEn,Year,BoreholeDe,DrillerSig,DrillerCom,LicenseNum,PluggingRe
391491,New Well,Public Supply,Laredo Petroleum,Reagan,"1451 Angle Rd, Garden City, 76932",31.631667,-101.498334,44-21-7,3/16/2015,3/18/2015,2015,400,Russell Southerland,West Texas Water Well Service,2713,
608721,New Well,Public Supply,Petra Firma,Tom Green,"FM 2335, Christoval, 76935",31.233056,-100.571111,43-52-2,4/25/2022,4/25/2022,2022,100,Bobby R Wilson,Aqua Drill,58462,
573467,New Well,Public Supply,Petra Firma,Tom Green,"FM 4135 Haciendas Ranch Subdivision, Christoval, 76935",31.238611,-100.561944,43-52-2,3/24/2021,3/25/2021,2021,180,Bobby R Wilson,Aqua Drill,58462,
573466,New Well,Public Supply,Petra Firma,Tom Green,"FM 2335 Hacienda Ranch Subdivision, Christoval, 76935",31.239722,-100.56,43-52-2,3/22/2021,3/23/2021,2021,200,Bobby R Wilson,Aqua Drill,58462,
561288,New Well,Public Supply,West Texas Boys Ranch,Tom Green,"10223 Boys Ranch Rd., San Angelo, 76904",31.333369,-100.600275,43-44-1,1/9/2020,1/9/2020,2020,65,Justin C Abel,Abel Water Systems,59930,204949
561283,New Well,Public Supply,West Texas Boys Ranch,Tom Green,"10223 Boys Ranch Rd., San Angelo, 76904",31.335419,-100.616528,43-44-1,8/14/2020,8/14/2020,2020,62,Justin C Abel,Abel Water Systems,59930,
561069,New Well,Public Supply,West Texas Boys Ranch,Tom Green,"10223 Boys Ranch Rd., San Angelo, 76904",31.33337,-100.600276,43-44-1,6/25/2020,6/27/2020,2020,105,Justin C Abel,Abel Water Systems,59930,
524851,New Well,Public Supply,Jensen Brothers,Tom Green,"8995 FM 2335 Jensen Brothers subdivision, Christoval, 76935",31.230833,-100.560556,43-52-2,10/1/2019,10/3/2019,2019,200,Bobby R Wilson,Aqua Drill,58462,
488105,New Well,Public Supply,Petra Firma Development Group,Tom Green,"FM 2335 Well located on David Jensen subdivision between Christoval and Knickerbocker., Christoval, 76932",31.228333,-100.559722,43-52-2,4/2/2018,4/5/2018,2018,160,Bobby R Wilson,Aqua Drill,58462,
486573,New Well,Public Supply,CONCHO RURAL WATER,Tom Green,"7730-7734 SANDPIPER WAY, GRAPE CREEK, 76901",31.584767,-100.5467,43-28-2,4/9/2018,4/9/2018,2018,125,Clark Abel,ABEL WATER SYSTEMS,2972,
432128,New Well,Public Supply,CARLSBAD FRESH WATER DIST. TOMGREEN COUNTY #1,Tom Green,"12253 US 87 N, CARLSBAD, 76934",31.618889,-100.663889,43-27-3,5/5/2016,7/20/2016,2016,86,Michael Carl Hoelscher,MICHAEL C HOELSCHER,2409,
428891,New Well,Public Supply,Tom Green County FWSD No 3,Tom Green,"Dove Creek Lane West, San Angelo, 76904",31.315944,-100.626514,43-43-6,6/22/2016,6/22/2016,2016,85,Clark Abel,ABEL WATER SYSTEMS,2972,
428835,New Well,Public Supply,Concho Rural Water,Tom Green,"E. Carlsbad Loop, Carlsbad, 76934",31.584101,-100.607144,43-28-1,6/24/2016,6/24/2016,2016,105,Clark Abel,ABEL WATER SYSTEMS,2972,
428832,New Well,Public Supply,Concho Rural Water,Tom Green,"E. Carlsbad Loop, Carlsbad, 76932",31.584217,-100.60725,43-28-1,5/24/2016,5/24/2016,2016,105,Clark Abel,ABEL WATER SYSTEMS,2972,
428831,New Well,Public Supply,Concho Rural Water,Tom Green,"E. Carlsbad Loop, Carlsbad, 76934",31.579471,-100.603515,43-28-4,5/13/2016,5/13/2016,2016,105,Clark Abel,ABEL WATER SYSTEMS,2972,
428830,New Well,Public Supply,Concho Rural Water,Tom Green,"E. Carlsbad Loop, Carlsbad, 76934",31.57943,-100.603967,43-28-4,5/12/2016,5/12/2016,2016,105,Clark Abel,ABEL WATER SYSTEMS,2972,
428829,New Well,Public Supply,Concho Rural Water,Tom Green,"Carlsbad Loop, Carlsbad, 76934",31.57898,-100.604179,43-28-4,5/11/2016,5/11/2016,2016,105,Clark Abel,ABEL WATER SYSTEMS,2972,
428828,New Well,Public Supply,Concho Rural Water,Tom Green,"Carlsbad Loop, Carlsbad, 76934",31.579333,-100.604709,43-28-4,5/10/2016,5/10/2016,2016,105,Clark Abel,ABEL WATER SYSTEMS,2972,
322592,Reconditioning,Public Supply,Mt. Carmel Hermitage,Tom Green,"3 mi. W of Christoval, Christoval,",31.154167,-100.541389,43-52-9,3/13/2013,3/13/2013,2013,115,Patrick B Lange,Lange Drilling Co. Inc.,2343,
204664,New Well,Public Supply,Gene Gully,Tom Green,"Hawk Ave, Wall,",31.377778,-100.296667,43-38-8,5/5/2006,5/5/2006,2006,180,Michael Carl Hoelscher,Michael C. Hoelscher,2409,
204662,New Well,Public Supply,Gene Gully,Tom Green,"Hawk Ave, Wall,",31.379722,-100.298056,43-38-8,5/4/2006,5/4/2006,2006,200,Michael Carl Hoelscher,Michael C. Hoelscher,2409,
204661,New Well,Public Supply,Gene Gully,Tom Green,"Hawk Ave, Wall,",31.381111,-100.297222,43-38-8,5/8/2006,5/8/2006,2006,180,Michael Carl Hoelscher,Michael C. Hoelscher,2409,
19483,New Well,Public Supply,City of Blanket,Brown,"FM 1465 in Blanket, CR 355 W 1 mi, S gate, Blanket, 76432",31.83,-98.805278,41-10-5,3/31/2003,4/17/2003,2003,442,Michael Wayne Gilliam,Michael Gilliam Consultant Services,54262,
16062,New Well,Public Supply,City of Blanket,Brown,"1.5 miles W CR355, S side white gate, Blanket, 76432",31.830555,-98.805001,41-10-5,11/18/2002,11/20/2002,2002,437,Michael Wayne Gilliam,Michael Gilliam Consultant Services,54262,
436114,New Well,Public Supply,City of Bronte,Coke,"1 mile south of Blackwell, Texas. 1 mile west of HWY 70, Blackwell,",32.068017,-100.315733,29-62-5,4/26/2016,4/29/2016,2016,325,Silas Solomon Jones,"Thunder Well Service, LLC",58804,
344815,New Well,Public Supply,City of Bronte,Coke,"1 Mile S. of Blackwell on Hwy 70, Blackwell,",32.064167,-100.32,29-62-5,10/9/2013,10/21/2013,2013,330,Ronny Keith,West Texas Water Well Service,4854,
344813,New Well,Public Supply,City of Bronte,Coke,"1 Mile S. of Blackwell on Hwy 70, Blackwell,",32.061112,-100.311945,29-62-5,10/24/2013,10/26/2013,2013,317,Ronny Keith,West Texas Water Well Service,4854,
