WellReport,TypeOfWork,ProposedUs,OwnerName2,County2,WellAddres,CoordDDLat,CoordDDLon,GridNumber,DrillingSt,DrillingEn,Year,BoreholeDe,DrillerSig,DrillerCom,LicenseNum,PluggingRe
344331,New Well,Public Supply,CITY OF LAMESA,Dawson,,32.805556,-101.996667,28-09-4,9/2/2013,9/2/2013,2013,220,Monte J Moore,MONTE MOORE DRILLING,3289,
337176,New Well,Public Supply,CITY OF LAMESA,Dawson,"LAMESA, 79331",32.776667,-101.975555,28-09-7,6/19/2013,6/23/2013,2013,220,Victor M Acosta Jr,ACOSTA DRILLING INC,56002,
337175,New Well,Public Supply,CITY OF LAMESA,Dawson,"LAMESA, 79331",32.806389,-101.991111,28-09-4,6/3/2013,6/6/2013,2013,220,Victor M Acosta Jr,ACOSTA DRILLING INC,56002,
289880,New Well,Public Supply,City of Lamesa,Dawson,"Hwy 827 east, Lamesa, 79331",32.728889,-101.926944,28-17-2,3/29/2012,4/4/2012,2012,183,Victor M Acosta Jr,ACOSTA DRILLING INC,56002,
289879,New Well,Public Supply,City of Lamesa,Dawson,"Hwy 827 east, Lamesa, 79331",32.728055,-101.931389,28-17-2,3/23/2012,3/30/2012,2012,183,Victor M Acosta Jr,ACOSTA DRILLING INC,56002,
256739,New Well,Public Supply,Klondike ISD,Dawson,"CR H, Klondike,",32.565834,-101.957778,28-25-5,6/10/2011,6/11/2011,2011,265,Willie O La Rue,B&B Construction,4980,
175677,New Well,Public Supply,WELCH WATER SUPPLY,Dawson,,32.909445,-102.126389,27-07-9,8/3/2008,8/3/2008,2008,150,Monte J Moore,MONTE MOORE DRILLING,3289,
537263,New Well,Public Supply,Kalsec Southwest LLC,Gaines,"2211 FM 1757, Denver City, 79323",32.8991,-103.0023,26-08-9,1/6/2020,1/16/2020,2020,240,Bruce J Reichmuth,Hydro Resources Mid Continent Inc,54587,
432766,New Well,Public Supply,Gaines County Water Co.,Gaines,"Cr 311 3.5 west &1.5 south of Seminole, Seminole, 79360",32.7031,-102.7393,27-19-4,4/12/2016,8/29/2016,2016,268,Ricky Dan Baccus,Baccus Drilling Co.,3144,
432765,New Well,Public Supply,Gaines County Water Co.,Gaines,"Cr 311 3.75 west&1.25 south of Seminole, Seminole, 79360",32.707467,-102.7415,27-19-4,4/16/2016,8/29/2016,2016,245,Ricky Dan Baccus,Baccus Drilling Co.,3144,
429974,New Well,Public Supply,Canuto Elias,Gaines,"block g section 191, seminole,",32.695828,-102.650503,27-19-6,7/14/2016,8/19/2016,2016,180,Franz S Wiebe,VANGUARD WATER WELLS,59482,
423963,New Well,Public Supply,City of Seminole,Gaines,".25 mile S&1 mile W of Seminole, Seminole, 79360",32.69041,-102.66026,27-19-6,10/1/2012,3/13/2013,2013,200,Ricky Dan Baccus,Baccus Drilling Co.,3144,
394065,New Well,Public Supply,"Gaines County Water Company, LLC",Gaines,"Seminole, 79360",32.698334,-102.754167,27-18-6,2/25/2015,3/15/2015,2015,270,Miguel Camarena,Hydro Resources Mid Continent Inc,54592,
394062,New Well,Public Supply,"Gaines County Water Company, LLC",Gaines,"Seminole, 79360",32.698334,-102.754167,27-18-6,2/25/2015,3/15/2015,2015,270,Miguel Camarena,Hydro Resources Mid Continent Inc,54592,
380706,New Well,Public Supply,City Of Seminole,Gaines,"Block G Sec. 260, Seminole, 79360",32.706112,-102.745278,27-19-4,5/15/2014,5/16/2014,2014,280,Tobias Peters,Pearson Drilling,56068,148449
370691,Replacement,Public Supply,City Of Seminole,Gaines,"Block G Sec. 260, Seminole, 79360",32.706112,-102.745278,27-19-4,5/16/2014,6/9/2014,2014,320,Tobias Peters,Pearson Drilling,56068,
370658,Replacement,Public Supply,City Of Seminole,Gaines,"Block G Sec. 261, Seminole, 79360",32.719444,-102.736389,27-19-1,5/5/2014,6/16/2014,2014,630,Tobias Peters,Pearson Drilling,56068,
370655,Replacement,Public Supply,City Of Seminole,Gaines,"Block G Sec. 255, Seminole, 79360",32.697778,-102.720833,27-19-4,5/17/2014,6/16/2014,2014,1000,Tobias Peters,Pearson Drilling,56068,
360022,New Well,Public Supply,xto energy,Gaines,"fm 2885, siminole, 79306",32.623889,-102.737222,27-27-1,4/2/2014,4/3/2014,2014,140,Charles Pratt,thi water well,58074,
334609,New Well,Public Supply,Loop Water System,Gaines,"Block C-33, Loop, 79342",32.931389,-102.222778,27-07-4,6/24/2013,6/26/2013,2013,232,Tobias Peters,Pearson Drilling,56068,
332184,New Well,Public Supply,CITY OF SEMINOLE,Gaines,"SW 1/4 BLK G SEC 260, SEMINOLE, 79360",32.785278,-102.739722,27-11-7,2/1/2006,2/13/2006,2006,240,Keith Conner,CONNER DRILLING,54552,
