WellReport,TypeOfWork,ProposedUs,OwnerName2,County2,WellAddres,CoordDDLat,CoordDDLon,GridNumber,DrillingSt,DrillingEn,Year,BoreholeDe,DrillerSig,DrillerCom,LicenseNum,PluggingRe
332176,New Well,Public Supply,CITY OF SEMINOLE,Gaines,"BLK G SEC 261, SEMINOLE, 79360",32.724444,-102.731944,27-19-1,1/3/2006,1/25/2006,2006,205,Keith Conner,CONNER DRILLING,54552,
323905,New Well,Public Supply,City of Seminole,Gaines,"Blk G Sect 261, Seminole, 79360",32.785278,-102.739722,27-11-7,2/1/2006,2/13/2006,2006,240,Keith Conner,Conner Drilling,54552,
323902,New Well,Public Supply,City of Seminole,Gaines,"Blk G Sect 260, Seminole, 79360",32.724444,-102.731944,27-19-1,1/3/2006,1/25/2006,2006,205,Keith Conner,Conner Drilling,54552,
193107,New Well,Public Supply,City of Seminole,Gaines,"Glk. G Sec. 255 NW 1/4, Seminole, 79360",32.706667,-102.721111,27-19-4,2/3/2005,2/20/2005,2005,190,Keith Conner,Conner Drilling,54552,
193105,New Well,Public Supply,City of Seminole,Gaines,"Glk. G Sec. 255 NE 1/4, Seminole, 79360",32.709445,-102.713334,27-19-1,1/7/2005,1/17/2005,2005,202,Keith Conner,Conner Drilling,54552,
188775,New Well,Public Supply,Texland Great Plains Water,Gaines,"Blk A-26 Section 10, Seminole, 79360",32.535,-102.775,27-26-9,8/17/2006,9/11/2006,2006,215,Keith Conner,Conner Drilling,54552,
188771,New Well,Public Supply,Texland Great Plains Water,Gaines,"Blk A-26 Section 10, Seminole, 79360",32.540556,-102.785556,27-26-9,8/15/2006,9/11/2006,2006,210,Keith Conner,Conner Drilling,54552,41402
174408,New Well,Public Supply,City of Loop,Gaines,"Sec 1 Blk C-33, 1/2 mi N of Loop near Water Tower, Loop, 79342",32.922778,-102.420278,27-05-5,8/27/2004,9/2/2004,2004,233,Keith Conner,Conner Drilling Co.,54552,
174406,New Well,Public Supply,City of Seminole,Gaines,"Blk G Sec 261 W 1/2, Seminole, 79360",32.719444,-102.735834,27-19-1,7/13/2004,7/22/2004,2004,240,Keith Conner,Conner Drilling Co.,54552,
174404,New Well,Public Supply,City of Seminole,Gaines,"Sec 261 Blk G NW 1/4, Seminole, 79360",32.721667,-102.737778,27-19-1,6/30/2004,7/9/2004,2004,205,Keith Conner,Conner Drilling Co.,54552,
174402,New Well,Public Supply,City of Seminole,Gaines,"Blk G Sec 261 SW 1/4, Seminole, 79360",32.715834,-102.736945,27-19-1,7/26/2004,8/4/2004,2004,205,Keith Conner,Conner Drilling Co.,54552,
127253,New Well,Public Supply,City of Seminole,Gaines,"Bk G, Sec 261, Seminole, 79360",32.724444,-102.737778,27-19-1,2/7/2005,2/22/2005,2005,202,Keith Conner,Conner Drilling,54552,
75587,New Well,Public Supply,City of Seagraves,Gaines,79359,32.952223,-102.568333,27-04-5,5/18/2005,5/19/2005,2005,185,Victor M Acosta Jr,ACOSTA DRILLING,56002,
75585,New Well,Public Supply,City of Seagraves,Gaines,"5, 79359",32.952223,-102.570278,27-04-5,5/16/2005,5/17/2005,2005,185,Victor M Acosta Jr,ACOSTA DRILLING,56002,
39855,New Well,Public Supply,CITY OF SEMINOLE,Gaines,"SEMINOLE, 79360",32.699445,-102.736389,27-19-4,1/29/2004,2/4/2004,2004,275,Parker Eugene Tutle,ACOSTA DRILLING CO.,916,
39851,New Well,Public Supply,CITY OF SEMINOLE,Gaines,"SEMINOLE, 79360",32.697778,-102.712778,27-19-4,1/23/2004,1/27/2004,2004,195,Parker Eugene Tutle,ACOSTA DRILLING CO.,916,
35653,New Well,Public Supply,City of Seminole,Gaines,"West of Seminole, Seminole,",32.690278,-102.713612,27-19-4,5/12/2003,5/14/2003,2003,215,John Goertzen,Goertzen Drilling,50304,
21678,New Well,Public Supply,CITY OF SEAGRAVES,Gaines,"HADAWAY TEST HOLE # 4,",32.950556,-102.559167,27-04-5,3/7/2003,3/8/2003,2003,183,Parker Eugene Tutle,ACOSTA DRILLING CO.,916,107777
21676,New Well,Public Supply,CITY OF SEAGRAVES,Gaines,"HADAWAY TEST HOLE # 3,",32.950556,-102.555556,27-04-5,3/5/2003,3/6/2003,2003,183,Parker Eugene Tutle,ACOSTA DRILLING CO.,916,107776
21675,New Well,Public Supply,CITY OF SEAGRAVES,Gaines,"HADAWAY TEST HOLE # 2,",32.950556,-102.557501,27-04-5,3/3/2003,3/3/2003,2003,183,Parker Eugene Tutle,ACOSTA DRILLING CO.,916,
21673,New Well,Public Supply,CITY OF SEAGRAVES,Gaines,"HADAWAY TEST HOLE # 2,",32.950556,-102.557501,27-04-5,3/3/2003,3/3/2003,2003,183,Parker Eugene Tutle,ACOSTA DRILLING CO.,916,
21671,New Well,Public Supply,CITY OF SEAGRAVES,Gaines,"HADAWAY WELL # 2,",32.948889,-102.561667,27-04-5,5/26/2003,5/30/2003,2003,183,Parker Eugene Tutle,ACOSTA DRILLING CO.,916,
21668,New Well,Public Supply,CITY OF SEAGRAVES,Gaines,"HADAWAY WELL # 1,",32.950278,-102.561667,27-04-5,4/7/2003,4/11/2003,2003,175,Parker Eugene Tutle,ACOSTA DRILLING CO.,916,
14407,New Well,Public Supply,CITY OF SEAGRAVES,Gaines,"LUMBER YARD WELL, SEAGRAVES, 79359",32.940556,-102.564445,27-04-5,9/25/2002,9/28/2002,2002,183,Parker Eugene Tutle,ACOSTA DRILLING CO.,916,8495
14406,New Well,Public Supply,CITY OF SEAGRAVES,Gaines,"ESPINOZA WELL, SEAGRAVES, 79359",32.934167,-102.571944,27-04-5,9/23/2002,9/25/2002,2002,183,Parker Eugene Tutle,ACOSTA DRILLING CO.,916,8494
14405,New Well,Public Supply,CITY OF SEAGRAVES,Gaines,"CITY HALL SITE, SEAGRAVES, 79359",32.940556,-102.5975,27-04-4,6/1/2002,6/1/2002,2002,200,Parker Eugene Tutle,ACOSTA DRILLING CO.,916,106710
14404,New Well,Public Supply,CITY OF SEAGRAVES,Gaines,"EAGLE TOWER WELL, SEAGREAVES, 79359",32.951945,-102.566389,27-04-5,10/1/2002,10/4/2002,2002,183,Parker Eugene Tutle,ACOSTA DRILLING CO.,916,
117353,New Well,Public Supply,Bledsoe Water Supply,Cochran,,33.715001,-103.020833,25-24-3,5/23/2007,5/23/2007,2007,256,Andrew Bay Wilson,Wilson Drilling Co.,50676,
94293,New Well,Public Supply,CITY OF MEADOW,Terry,,33.327778,-102.2175,24-47-4,9/27/2006,9/27/2006,2006,138,Leeroy Trevino,"HI PLAINS DRILLING, INC.",54667,115147
460612,New Well,Public Supply,City of Plains,Yoakum,"1/2 mile west of, Plains, 79355",33.192911,-102.895683,24-49-6,5/25/2017,7/25/2017,2017,160,Silas Solomon Jones,"Thunder Well Service, LLC",58804,
369376,New Well,Public Supply,Yoakum Co,Yoakum,"NW 14 Sec 738 Blk D, Plaines, 79355",33.048611,-102.816944,24-58-5,5/19/2014,5/20/2014,2014,150,John Goertzen,Goertzen Drilling,50304,
339364,New Well,Public Supply,Mustang Station,Yoakum,"Sec. 887 Block D, Denver City, 79323",32.975555,-102.743334,27-03-1,7/29/2013,7/31/2013,2013,200,Tobias Peters,Pearson Drilling,56068,
325020,New Well,Public Supply,Denver city City,Yoakum,"Sect. 707, Denver City, 79323",33.064167,-102.934167,24-57-5,10/16/2011,10/17/2011,2011,115,John Goertzen,Goertzen Drilling,50304,
325015,New Well,Public Supply,Denver city City,Yoakum,"Sect. 707, Denver City, 79323",33.062501,-102.957223,24-57-5,10/18/2011,10/19/2011,2011,155,John Goertzen,Goertzen Drilling,50304,
312587,New Well,Public Supply,City of Denver City,Yoakum,"Block D Sec 537, Denver City, 79323",33.048611,-102.972778,24-57-4,1/11/2013,1/13/2013,2013,138,Tobias Peters,Pearson Drilling,56068,
312586,New Well,Public Supply,City of Denver City,Yoakum,"Block D Sec 537, Denver City, 79323",33.048611,-102.972778,24-57-4,1/9/2013,1/11/2013,2013,160,Tobias Peters,Pearson Drilling,56068,
269544,New Well,Public Supply,City of Denver City,Yoakum,"CR 195 Block D Sec. 770, Denver City, 79323",33.030555,-102.938334,24-57-8,6/14/2011,6/14/2011,2011,134,John Goertzen,Goertzen Drilling,50304,
269542,New Well,Public Supply,City of Denver City,Yoakum,"CR 195 Block D Sec. 770, Denver City, 79323",33.033334,-102.938056,24-57-8,6/16/2011,6/17/2011,2011,120,John Goertzen,Goertzen Drilling,50304,
269539,New Well,Public Supply,City of Denver City,Yoakum,"CR 195 Block D Sec. 770, Denver City, 79323",33.036111,-102.938056,24-57-8,6/17/2011,6/18/2011,2011,122,John Goertzen,Goertzen Drilling,50304,
269538,New Well,Public Supply,City of Denver City,Yoakum,"CR 195 Block D Sec. 770, Denver City, 79323",33.036111,-102.935,24-57-8,6/20/2011,6/21/2011,2011,120,John Goertzen,Goertzen Drilling,50304,
174409,New Well,Public Supply,Denver City,Yoakum,"NW 1/4 Sec 858, Denver City, 79323",32.991111,-102.955834,27-01-2,8/10/2004,8/20/2004,2004,233,Keith Conner,Conner Drilling Co.,54552,
628,New Well,Public Supply,OCCIDENTAL PERMIAN LTD.,Yoakum,,33.010556,-102.818611,24-58-8,2/12/2001,2/13/2001,2001,145,Ken D Grant,"HI PLAINS DRILLING, INC.",2506,
